"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_7","P7_8","P7_9","P7_10","P7_11","P7_12","P7_13_1","P7_13_2","P7_14","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000031","04","1","02","01","2","0080000","02500","24","24","0080000","99","9","00","002","0000008",671,"3","1"
"0000035","01","1","01","01","1","0200000","03600","60","42","0175000","99","9","00","001","0000010",986,"2","1"
"0000035","01","1","01","02","1","0140000","05200","48","30","0120000","99","9","00","001","0000010",986,"2","1"
"0000044","02","1","04","01","1","0011000","07000","24","18","9999999","99","9","00","002","0000012",576,"3","1"
"0000053","02","1","01","01","1","0180000","03000","60","48","0140000","99","9","00","003","0000014",383,"4","1"
"0000068","01","1","02","01","3","0200000","04000","56","32","9999999","09","0","00","003","0000019",421,"4","1"
"0000076","01","1","01","01","1","0351000","04000","72","99","9999999","99","9","99","001","0000021",1003,"2","1"
"0000079","03","1","02","01","2","0080000","02500","48","12","0045000","99","9","00","003","0000022",433,"4","1"
"0000092","02","1","01","01","2","0080000","02000","72","60","0070000","99","9","00","003","0000026",392,"4","1"
"0000102","02","1","02","01","1","0180000","04500","60","48","9999999","99","9","00","002","0000028",722,"3","1"
"0000125","04","1","01","01","2","0350000","04500","46","02","0080000","00","8","00","003","0000034",396,"4","1"
"0000128","01","1","01","01","1","0200000","03000","60","42","9999999","12","6","00","003","0000036",387,"4","1"
"0000154","01","1","01","01","1","0250000","05000","36","25","0100000","99","9","00","002","0000043",717,"3","1"
"0000156","03","1","03","01","4","","","","","","","","","002","0000043",717,"3","1"
"0000163","03","1","02","01","1","0240000","02800","60","52","0200000","06","0","00","002","0000045",715,"3","1"
"0000186","05","1","01","01","2","0087000","02700","48","40","0075000","14","0","00","002","0000051",671,"3","1"
"0000186","05","1","03","01","2","0160000","02200","60","06","0012000","13","0","00","002","0000051",671,"3","1"
"0000194","05","1","01","01","1","0160000","03000","60","36","9999999","99","9","00","001","0000053",1058,"2","1"
"0000213","05","1","01","01","3","0220000","04100","72","36","0100000","10","0","00","003","0000060",397,"4","1"
"0000221","03","1","02","01","4","","","","","","","","","002","0000062",713,"3","1"
"0000240","04","1","01","01","4","","","","","","","","","002","0000067",642,"3","1"
"0000244","03","1","01","01","1","0160000","02500","72","04","0020000","10","0","00","003","0000068",393,"4","1"
"0000256","02","1","01","01","2","0115000","02800","60","11","0035000","01","1","00","002","0000071",652,"3","1"
"0000258","02","1","03","01","3","0150000","04500","48","10","0060000","12","0","00","003","0000072",421,"4","1"
"0000267","01","1","02","01","1","0150000","04100","60","52","0150000","99","9","00","002","0000075",669,"3","1"
"0000272","04","1","01","01","1","0200000","08000","48","42","0180000","99","9","00","003","0000076",403,"4","1"
"0000279","03","1","01","01","1","0183000","04700","60","48","9999999","09","0","00","003","0000078",385,"4","1"
"0000298","03","1","01","01","1","0130000","03500","60","02","0007000","99","9","00","003","0000083",390,"4","1"
"0000305","01","1","02","01","2","0030000","02400","12","10","0027000","99","9","00","003","0000085",389,"4","1"
"0000342","01","1","01","01","1","0400000","10000","60","48","0300000","09","5","00","003","0000096",465,"4","1"
"0000348","02","1","01","01","1","0140000","03100","36","23","0076000","03","0","00","003","0000097",396,"4","1"
