"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_12","P8_13","P8_14_1","P8_14_2","P8_15","P8_16","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000004","04","1","03","01","9","00500","03","0","999999","00","002","0000001",588,"3","1"
"0000009","05","1","04","01","3","00000","99","9","002500","05","002","0000002",704,"3","1"
"0000013","01","1","02","01","3","01000","99","9","025400","00","001","0000004",859,"2","1"
"0000015","02","1","01","01","3","00450","99","9","003000","00","001","0000005",1034,"2","1"
"0000016","03","1","02","01","3","00150","99","9","001000","00","001","0000005",1034,"2","1"
"0000019","01","1","01","01","3","00000","99","9","000700","04","001","0000006",1041,"2","1"
"0000020","02","1","02","01","1","00225","99","9","000850","00","001","0000006",1041,"2","1"
"0000021","04","1","02","01","9","02000","99","9","002000","00","001","0000006",1041,"2","1"
"0000024","02","1","01","01","1","00500","99","9","003000","00","001","0000007",753,"2","1"
"0000024","02","1","01","02","2","00000","99","9","000000","00","001","0000007",753,"2","1"
"0000031","04","1","01","01","1","00600","04","0","007000","00","002","0000008",671,"3","1"
"0000031","04","1","03","01","1","00600","02","0","003000","01","002","0000008",671,"3","1"
"0000032","05","1","03","01","3","00800","99","9","999999","00","002","0000008",671,"3","1"
"0000034","04","1","01","01","1","02000","99","9","015000","00","002","0000009",631,"3","1"
"0000035","01","1","01","01","6","00200","99","9","001300","00","001","0000010",986,"2","1"
"0000039","01","1","01","01","3","02000","99","9","004000","00","002","0000011",643,"3","1"
"0000047","05","1","04","01","1","02000","30","5","003800","00","002","0000012",576,"3","1"
"0000051","05","1","01","01","1","00500","99","9","002000","00","002","0000013",655,"3","1"
"0000051","05","1","01","02","7","00081","99","9","000081","00","002","0000013",655,"3","1"
"0000051","05","1","02","01","3","00350","99","9","003000","00","002","0000013",655,"3","1"
"0000051","05","1","02","02","9","00240","99","9","001800","00","002","0000013",655,"3","1"
"0000054","04","1","03","01","1","00350","99","9","001700","00","003","0000014",383,"4","1"
"0000055","05","1","01","01","1","05000","99","9","062000","00","003","0000014",383,"4","1"
"0000055","05","1","02","01","1","04200","99","9","020000","00","003","0000014",383,"4","1"
"0000056","01","1","01","01","2","00706","99","9","003200","00","003","0000015",383,"4","1"
"0000058","03","1","01","01","1","02500","99","9","007000","03","003","0000015",383,"4","1"
"0000058","03","1","01","02","2","02500","99","9","022000","03","003","0000015",383,"4","1"
"0000062","05","1","02","01","3","04000","99","9","002000","00","002","0000016",623,"3","1"
"0000062","05","1","02","02","3","00130","99","9","000500","00","002","0000016",623,"3","1"
"0000072","01","1","01","01","1","01000","06","0","004000","02","002","0000020",745,"3","1"
"0000077","02","1","01","01","2","00600","99","9","003200","00","001","0000021",1003,"2","1"
"0000079","03","1","02","01","1","04000","99","9","009000","02","003","0000022",433,"4","1"
"0000087","04","1","02","01","3","01500","99","9","003500","00","002","0000024",611,"3","1"
"0000089","02","1","01","01","2","03800","25","0","027600","02","002","0000025",679,"3","1"
"0000094","04","1","01","01","1","01050","99","9","007000","00","003","0000026",392,"4","1"
"0000095","05","1","01","01","4","02000","99","9","008000","00","003","0000026",392,"4","1"
"0000095","05","1","01","02","1","02000","99","9","014000","00","003","0000026",392,"4","1"
"0000099","04","1","02","01","3","00500","99","9","000800","00","002","0000027",722,"3","1"
"0000099","04","1","04","01","7","00248","99","9","999999","03","002","0000027",722,"3","1"
"0000100","05","1","02","01","1","00500","99","9","003000","01","002","0000027",722,"3","1"
"0000101","01","1","02","01","9","08000","99","9","006000","00","002","0000028",722,"3","1"
"0000106","03","1","02","01","1","02000","99","9","006000","00","002","0000029",710,"3","1"
"0000113","02","1","02","01","1","00700","99","9","002000","00","002","0000031",717,"3","1"
"0000118","05","1","01","01","1","01100","99","9","006000","00","002","0000032",602,"3","1"
"0000120","02","1","01","01","9","01000","99","9","999999","00","002","0000033",610,"3","1"
"0000125","04","1","02","01","1","00500","99","9","002500","00","003","0000034",396,"4","1"
"0000133","03","1","02","01","1","01200","53","1","001200","00","003","0000037",399,"4","1"
"0000133","03","1","03","01","2","00350","99","9","003000","02","003","0000037",399,"4","1"
"0000139","02","1","01","01","3","00250","99","9","999888","02","002","0000039",667,"3","1"
"0000145","04","1","01","01","3","00000","99","9","026556","12","002","0000040",692,"3","1"
"0000150","01","1","01","01","3","00000","99","9","001800","05","002","0000042",700,"3","1"
"0000150","01","1","02","01","3","00000","99","9","004000","02","002","0000042",700,"3","1"
"0000154","01","1","01","01","1","02000","99","9","030000","00","002","0000043",717,"3","1"
"0000156","03","1","02","01","2","05000","99","9","030000","00","002","0000043",717,"3","1"
"0000173","04","1","01","01","3","00090","99","9","000600","00","001","0000047",1061,"2","1"
"0000174","05","1","01","01","1","00000","16","7","000000","00","001","0000047",1061,"2","1"
"0000182","05","1","02","01","3","00400","99","9","002000","00","002","0000050",632,"3","1"
"0000182","05","1","03","01","7","01200","99","9","003500","00","002","0000050",632,"3","1"
"0000183","01","1","02","01","3","00000","99","9","000800","04","002","0000051",671,"3","1"
"0000186","05","1","01","01","1","01150","53","1","011050","00","002","0000051",671,"3","1"
"0000186","05","1","03","01","1","01100","99","9","004000","00","002","0000051",671,"3","1"
"0000190","04","1","01","01","7","00500","99","9","002500","01","001","0000052",1044,"2","1"
"0000191","05","1","02","01","3","00500","99","9","001200","00","001","0000052",1044,"2","1"
"0000197","04","1","02","01","3","00150","99","9","003000","00","001","0000054",1027,"2","1"
"0000204","01","1","03","01","1","02000","99","9","999888","01","003","0000057",363,"4","1"
"0000207","04","1","02","01","9","00600","99","9","015000","01","002","0000058",643,"3","1"
"0000211","01","1","02","01","3","99888","99","9","999888","00","003","0000060",397,"4","1"
"0000211","01","1","02","02","7","99888","99","9","999888","00","003","0000060",397,"4","1"
"0000212","04","1","02","01","1","01000","40","0","004000","01","003","0000060",397,"4","1"
"0000213","05","1","01","01","1","01100","99","9","011000","00","003","0000060",397,"4","1"
