"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_49","P8_50","P8_51_1","P8_51_2","P8_52","P8_53_1","P8_53_2","P8_54_1","P8_54_2","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000099","04","1","02","01","003000","01200","99","9","00","00","05","00","03","002","0000027",722,"3","1"
"0000197","04","1","04","01","007000","02000","99","9","00","00","04","00","01","001","0000054",1027,"2","1"
"0000301","01","1","01","01","999999","04000","99","9","00","00","04","00","02","001","0000084",933,"2","1"
"0000308","02","1","01","01","003000","00500","04","5","02","00","06","00","02","003","0000086",412,"4","1"
"0000324","05","1","01","01","003200","00800","99","9","04","01","00","00","04","003","0000091",425,"4","1"
"0000354","04","1","01","01","003000","00800","05","0","00","01","06","00","03","003","0000098",432,"4","1"
"0000372","01","1","01","01","002500","01600","00","2","00","00","04","00","01","006","0000103",576,"2","2"
"0000390","05","1","02","01","999999","00920","99","9","00","00","04","99","99","004","0000104",1265,"2","2"
"0000474","08","1","02","01","003000","02000","99","9","00","00","05","00","03","007","0000112",786,"2","4"
"0000560","05","1","02","01","006800","03036","00","5","00","00","04","00","03","015","0000125",4276,"2","1"
"0000576","04","1","02","01","008000","02400","00","5","00","00","04","00","03","017","0000130",1164,"4","1"
"0000576","04","1","03","01","013000","01600","00","5","00","00","04","00","03","017","0000130",1164,"4","1"
"0000577","02","1","02","01","008000","01468","99","9","00","00","05","00","02","013","0000131",2084,"3","1"
"0000616","04","1","01","01","025000","08500","25","0","00","01","00","00","03","013","0000142",1047,"3","1"
"0000668","05","1","01","01","010000","03400","03","0","00","00","04","00","02","014","0000155",1253,"4","1"
"0000711","04","1","01","01","005000","04800","26","0","00","00","04","00","01","014","0000167",1394,"4","1"
"0000712","05","1","01","01","002500","02000","25","0","00","00","06","00","02","014","0000167",1394,"4","1"
"0000712","05","1","01","02","001800","01000","25","0","00","00","04","00","02","014","0000167",1394,"4","1"
"0000718","01","1","02","01","001000","02850","99","9","00","00","04","00","01","008","0000169",2685,"2","1"
"0000773","05","1","02","01","015000","03200","75","0","00","00","04","00","01","008","0000185",2547,"2","1"
"0000861","01","1","02","01","060000","16200","69","0","00","00","04","00","04","008","0000209",2174,"2","1"
"0000917","03","1","01","01","005000","01200","99","9","01","01","00","00","06","009","0000224",2006,"3","1"
"0000929","06","1","02","01","002000","02000","15","0","00","00","05","00","01","018","0000227",2884,"2","2"
"0000931","08","1","02","01","029000","02500","07","0","00","01","00","00","11","018","0000227",2884,"2","2"
"0000931","08","1","02","02","020000","05800","07","0","00","00","04","00","01","018","0000227",2884,"2","2"
"0000935","14","1","02","01","003600","00600","99","0","00","00","04","00","01","018","0000227",2884,"2","2"
"0000939","19","1","01","01","005000","00370","01","0","00","00","04","00","03","018","0000227",2884,"2","2"
"0000947","10","1","01","01","003500","07000","06","0","00","00","05","00","01","018","0000228",3115,"3","2"
