"FOLIO","VIV_SEL","HOGAR","N_INF","P2_9","P2_10","EDIS","UPM_DIS","FAC_HOG","ESTRATO","TLOC"
"0000001","01","1","02","","02","002","0000001",588,"3","1"
"0000002","02","1","01","","01","002","0000001",588,"3","1"
"0000003","03","1","02","","02","002","0000001",588,"3","1"
"0000004","04","1","02","","01","002","0000001",588,"3","1"
"0000005","05","1","05","","05","002","0000001",588,"3","1"
"0000006","01","1","01","","01","002","0000002",704,"3","1"
"0000007","02","1","01","","01","002","0000002",704,"3","1"
"0000008","04","1","01","","01","002","0000002",704,"3","1"
"0000009","05","1","04","","04","002","0000002",704,"3","1"
"0000010","01","1","02","","01","001","0000003",867,"2","1"
"0000011","02","1","01","","01","001","0000003",867,"2","1"
"0000012","04","1","01","","01","001","0000003",867,"2","1"
"0000013","01","1","01","","01","001","0000004",859,"2","1"
"0000014","02","1","01","","01","001","0000004",859,"2","1"
"0000015","02","1","03","","03","001","0000005",1034,"2","1"
"0000016","03","1","02","","02","001","0000005",1034,"2","1"
"0000017","04","1","01","","01","001","0000005",1034,"2","1"
"0000018","05","1","01","","01","001","0000005",1034,"2","1"
"0000019","01","1","01","","01","001","0000006",1041,"2","1"
"0000020","02","1","03","","03","001","0000006",1041,"2","1"
"0000021","04","1","01","","01","001","0000006",1041,"2","1"
"0000022","05","1","01","","01","001","0000006",1041,"2","1"
"0000023","01","1","02","","02","001","0000007",753,"2","1"
"0000024","02","1","01","","01","001","0000007",753,"2","1"
"0000025","03","1","01","","01","001","0000007",753,"2","1"
"0000026","04","1","01","","01","001","0000007",753,"2","1"
"0000027","05","1","01","","01","001","0000007",753,"2","1"
"0000028","01","1","06","","01","002","0000008",671,"3","1"
"0000029","02","1","01","","01","002","0000008",671,"3","1"
"0000030","03","1","01","","01","002","0000008",671,"3","1"
"0000031","04","1","03","","01","002","0000008",671,"3","1"
"0000032","05","1","05","","01","002","0000008",671,"3","1"
"0000033","02","1","01","","01","002","0000009",631,"3","1"
"0000034","04","1","01","","01","002","0000009",631,"3","1"
"0000035","01","1","01","","01","001","0000010",986,"2","1"
"0000036","03","1","02","","02","001","0000010",986,"2","1"
"0000037","04","1","01","","01","001","0000010",986,"2","1"
"0000038","05","1","01","","01","001","0000010",986,"2","1"
"0000039","01","1","01","","01","002","0000011",643,"3","1"
"0000040","02","1","01","","01","002","0000011",643,"3","1"
"0000041","04","1","04","","01","002","0000011",643,"3","1"
"0000042","05","1","01","","01","002","0000011",643,"3","1"
"0000043","01","1","01","","01","002","0000012",576,"3","1"
"0000044","02","1","04","","01","002","0000012",576,"3","1"
"0000045","03","1","01","","01","002","0000012",576,"3","1"
"0000046","04","1","03","","01","002","0000012",576,"3","1"
"0000047","05","1","05","","05","002","0000012",576,"3","1"
"0000048","01","1","02","","01","002","0000013",655,"3","1"
"0000049","03","1","01","","01","002","0000013",655,"3","1"
"0000050","04","1","02","","02","002","0000013",655,"3","1"
"0000051","05","1","01","","01","002","0000013",655,"3","1"
"0000052","01","1","01","","01","003","0000014",383,"4","1"
"0000053","02","1","03","","01","003","0000014",383,"4","1"
"0000054","04","1","03","","03","003","0000014",383,"4","1"
"0000055","05","1","02","","02","003","0000014",383,"4","1"
"0000056","01","1","01","","01","003","0000015",383,"4","1"
"0000057","02","1","01","","01","003","0000015",383,"4","1"
"0000058","03","1","02","","02","003","0000015",383,"4","1"
"0000059","04","1","01","","01","003","0000015",383,"4","1"
"0000060","03","1","01","","01","002","0000016",623,"3","1"
"0000061","04","1","02","","02","002","0000016",623,"3","1"
"0000062","05","1","02","","02","002","0000016",623,"3","1"
"0000063","04","1","02","","01","002","0000017",661,"3","1"
"0000064","05","1","01","","03","002","0000017",661,"3","1"
"0000065","01","1","01","","01","003","0000018",397,"4","1"
"0000066","02","1","02","","02","003","0000018",397,"4","1"
"0000067","03","1","01","","01","003","0000018",397,"4","1"
"0000068","01","1","02","","02","003","0000019",421,"4","1"
"0000069","02","1","01","","01","003","0000019",421,"4","1"
"0000070","03","1","01","","01","003","0000019",421,"4","1"
"0000071","05","1","01","","01","003","0000019",421,"4","1"
"0000072","01","1","01","","01","002","0000020",745,"3","1"
"0000073","02","1","01","","01","002","0000020",745,"3","1"
"0000074","03","1","02","","02","002","0000020",745,"3","1"
"0000075","05","1","01","","01","002","0000020",745,"3","1"
"0000076","01","1","02","","02","001","0000021",1003,"2","1"
"0000077","02","1","01","","01","001","0000021",1003,"2","1"
"0000078","01","1","01","","01","003","0000022",433,"4","1"
"0000079","03","1","02","","01","003","0000022",433,"4","1"
"0000080","04","1","02","","02","003","0000022",433,"4","1"
"0000081","01","1","02","","02","002","0000023",650,"3","1"
"0000082","02","1","01","","01","002","0000023",650,"3","1"
"0000083","03","1","01","","01","002","0000023",650,"3","1"
"0000084","05","1","02","","02","002","0000023",650,"3","1"
"0000085","02","1","01","","01","002","0000024",611,"3","1"
"0000086","03","1","02","","02","002","0000024",611,"3","1"
"0000087","04","1","01","","01","002","0000024",611,"3","1"
"0000088","01","1","01","","01","002","0000025",679,"3","1"
"0000089","02","1","01","","01","002","0000025",679,"3","1"
"0000090","04","1","01","","01","002","0000025",679,"3","1"
"0000091","05","1","01","","01","002","0000025",679,"3","1"
"0000092","02","1","01","","01","003","0000026",392,"4","1"
"0000093","03","1","01","","01","003","0000026",392,"4","1"
"0000094","04","1","01","","01","003","0000026",392,"4","1"
"0000095","05","1","01","","01","003","0000026",392,"4","1"
"0000096","01","1","01","","01","002","0000027",722,"3","1"
"0000097","02","1","02","","02","002","0000027",722,"3","1"
"0000098","03","1","01","","01","002","0000027",722,"3","1"
"0000099","04","1","02","","02","002","0000027",722,"3","1"
"0000100","05","1","02","","02","002","0000027",722,"3","1"
"0000101","01","1","02","","02","002","0000028",722,"3","1"
"0000102","02","1","02","","01","002","0000028",722,"3","1"
"0000103","03","1","03","","03","002","0000028",722,"3","1"
"0000104","04","1","02","","02","002","0000028",722,"3","1"
"0000105","01","1","02","","02","002","0000029",710,"3","1"
