"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_16","P7_17","P7_18","P7_19","P7_20","P7_21","P7_22_1","P7_22_2","P7_23","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000054","04","1","03","01","3","0080000","03500","36","23","0050000","99","9","00","003","0000014",383,"4","1"
"0000232","03","1","03","01","4","","","","","","","","","001","0000065",1125,"2","1"
"0000302","02","1","01","01","4","","","","","","","","","001","0000084",933,"2","1"
"0000368","01","1","01","01","1","0030000","00315","99","99","0025000","99","9","00","001","0000102",1026,"2","1"
"0000370","04","1","01","01","4","","","","","","","","","001","0000102",1026,"2","1"
"0000388","01","1","01","01","4","","","","","","","","","004","0000104",1265,"2","2"
"0000403","09","1","02","01","4","","","","","","","","","006","0000107",547,"2","2"
"0000493","07","1","01","01","4","","","","","","","","","007","0000113",718,"2","4"
"0000513","09","2","01","01","1","0020000","01200","26","16","0026000","99","9","00","007","0000114",921,"2","4"
"0000530","07","1","04","01","4","","","","","","","","","007","0000115",810,"2","4"
"0000608","03","1","02","01","4","","","","","","","","","014","0000140",1226,"4","1"
"0001214","03","1","01","01","4","","","","","","","","","022","0000286",452,"3","1"
"0001264","02","1","03","01","4","","","","","","","","","023","0000300",182,"4","1"
"0001400","15","1","01","01","4","","","","","","","","","026","0000309",284,"4","2"
"0001483","08","1","01","01","4","","","","","","","","","029","0000314",377,"3","3"
"0001621","08","1","01","01","4","","","","","","","","","030","0000322",310,"1","4"
"0001718","05","1","02","01","1","0018000","02084","24","23","0016400","99","9","00","032","0000346",554,"2","1"
"0001773","01","1","01","01","4","","","","","","","","","032","0000361",561,"2","1"
"0001812","03","1","01","01","4","","","","","","","","","034","0000370",159,"4","1"
"0001819","03","1","01","01","4","","","","","","","","","032","0000372",579,"2","1"
"0001858","02","1","01","01","4","","","","","","","","","035","0000384",250,"1","1"
"0001883","03","1","03","01","4","","","","","","","","","036","0000392",739,"2","1"
"0001913","04","1","01","01","1","0030000","01500","24","20","0027000","99","9","00","038","0000402",232,"4","1"
"0001924","01","1","01","01","4","","","","","","","","","038","0000406",248,"4","1"
"0001924","01","1","01","02","4","","","","","","","","","038","0000406",248,"4","1"
"0001945","10","1","04","01","4","","","","","","","","","039","0000411",519,"2","2"
"0001991","04","2","01","01","4","","","","","","","","","032","0000414",675,"2","3"
"0002021","16","1","01","01","2","0007000","00750","27","08","9999999","99","9","06","040","0000416",750,"1","3"
"0002039","16","1","01","01","3","0026000","01000","24","23","0025000","99","9","00","040","0000417",800,"1","3"
"0002040","17","1","02","01","2","0026000","01200","18","06","0010000","50","0","01","040","0000417",800,"1","3"
"0002047","01","1","01","01","4","","","","","","","","","041","0000421",667,"1","4"
"0002050","04","1","01","01","1","0032000","01400","24","18","0020000","99","9","00","041","0000421",667,"1","4"
"0002053","08","1","02","01","1","0030000","01500","24","12","9999999","99","9","01","041","0000421",667,"1","4"
"0002056","12","1","01","01","4","","","","","","","","","041","0000421",667,"1","4"
"0002074","13","1","01","01","4","","","","","","","","","041","0000422",719,"1","4"
"0002081","20","1","01","01","4","","","","","","","","","041","0000422",719,"1","4"
"0002112","16","1","01","01","4","","","","","","","","","041","0000424",691,"1","4"
"0002392","05","1","01","01","4","","","","","","","","","047","0000504",1498,"3","1"
"0002456","01","1","01","01","4","","","","","","","","","048","0000523",976,"4","1"
"0002487","04","1","01","01","4","","","","","","","","","046","0000530",1706,"2","1"
"0002591","09","1","01","01","4","","","","","","","","","058","0000545",1818,"2","4"
"0002675","01","1","03","01","4","","","","","","","","","059","0000562",589,"2","1"
"0002714","05","1","01","01","4","","","","","","","","","061","0000573",241,"4","1"
"0002889","03","1","02","01","4","","","","","","","","","060","0000615",428,"3","1"
"0003036","02","1","03","01","4","","","","","","","","","065","0000649",494,"2","2"
"0003053","04","1","05","01","4","","","","","","","","","065","0000650",505,"2","2"
"0003068","01","1","03","01","4","","","","","","","","","065","0000651",546,"2","2"
"0003104","05","1","01","01","4","","","","","","","","","066","0000653",557,"2","3"
"0003147","18","1","02","01","4","","","","","","","","","067","0000656",395,"2","4"
"0003155","08","1","01","01","4","","","","","","","","","067","0000657",368,"2","4"
"0003157","10","1","01","01","4","","","","","","","","","067","0000657",368,"2","4"
"0003182","17","1","03","01","4","","","","","","","","","067","0000658",379,"2","4"
"0003196","19","1","03","01","4","","","","","","","","","067","0000659",371,"1","4"
"0003196","19","1","04","01","4","","","","","","","","","067","0000659",371,"1","4"
"0003315","04","1","02","01","2","0021000","01000","24","08","0008000","14","0","00","068","0000698",4872,"2","1"
"0003416","03","3","01","01","4","","","","","","","","","077","0000721",2730,"2","2"
"0003527","20","1","02","01","4","","","","","","","","","080","0000729",2622,"1","4"
"0003681","16","1","01","01","4","","","","","","","","","080","0000738",3377,"1","4"
"0003896","05","1","01","01","4","","","","","","","","","087","0000790",2630,"3","1"
"0004207","03","1","03","01","4","","","","","","","","","093","0000855",3126,"2","4"
"0004873","02","1","02","01","4","","","","","","","","","101","0001010",441,"4","1"
"0004990","04","1","01","01","4","","","","","","","","","100","0001048",1284,"3","1"
"0005025","02","1","01","01","4","","","","","","","","","099","0001061",2432,"2","1"
"0005038","01","1","01","01","4","","","","","","","","","102","0001067",1559,"2","1"
