"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_40","P8_41","P8_42","P8_43_1","P8_43_2","P8_44","P8_45","P8_46","P8_47","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000015","02","1","02","01","3","080000","03500","01","5","00","60","30","4","001","0000005",1034,"2","1"
"0000017","04","1","01","01","2","040000","07000","99","9","00","12","02","2","001","0000005",1034,"2","1"
"0000018","05","1","01","01","1","050000","01700","99","9","03","24","12","1","001","0000005",1034,"2","1"
"0000019","01","1","02","01","1","030000","03000","25","0","00","24","12","8","001","0000006",1041,"2","1"
"0000072","01","1","01","01","1","005000","04000","04","0","00","18","03","6","002","0000020",745,"3","1"
"0000072","01","1","01","02","1","006000","04000","04","0","36","36","30","6","002","0000020",745,"3","1"
"0000082","02","1","01","01","3","999999","99999","99","9","00","99","99","9","002","0000023",650,"3","1"
"0000098","03","1","01","01","1","415000","05000","10","0","00","20","23","1","002","0000027",722,"3","1"
"0000125","04","1","01","01","1","050000","05400","28","0","00","36","24","8","003","0000034",396,"4","1"
"0000128","01","1","01","01","2","028000","01200","99","9","00","12","12","6","003","0000036",387,"4","1"
"0000133","03","1","03","01","1","040000","01370","99","9","00","36","36","4","003","0000037",399,"4","1"
"0000148","02","1","02","01","1","001400","02000","00","9","00","60","40","3","003","0000041",411,"4","1"
"0000168","04","1","01","01","1","080000","02000","02","5","04","70","36","8","001","0000046",1080,"2","1"
"0000178","02","1","01","01","1","100000","04700","01","0","00","24","23","8","003","0000049",360,"4","1"
"0000178","02","1","01","02","1","200000","18900","01","0","00","12","11","8","003","0000049",360,"4","1"
"0000178","02","1","01","03","1","100000","11166","01","0","00","12","11","8","003","0000049",360,"4","1"
"0000200","03","1","02","01","1","999888","16000","99","9","00","99","36","9","003","0000055",401,"4","1"
"0000213","05","1","01","01","1","013000","00600","40","0","00","48","12","4","003","0000060",397,"4","1"
"0000316","04","1","02","01","1","010000","01600","99","9","00","48","06","8","003","0000088",408,"4","1"
"0000347","01","1","01","01","1","030000","06000","24","2","00","03","05","4","003","0000097",396,"4","1"
"0000391","02","1","01","01","3","015000","01200","15","0","00","24","08","3","004","0000105",1248,"2","2"
"0000391","02","1","02","01","3","028000","02000","15","0","00","36","18","8","004","0000105",1248,"2","2"
"0000426","17","1","01","01","1","999999","00300","99","9","00","48","36","1","006","0000108",521,"3","2"
"0000432","02","1","01","01","1","015000","00720","99","9","00","99","99","8","006","0000110",1405,"2","3"
"0000436","07","1","01","01","1","020000","01600","99","9","00","36","24","8","006","0000110",1405,"2","3"
"0000500","17","1","02","01","1","007000","01800","99","9","00","12","06","1","007","0000113",718,"2","4"
"0000561","01","1","03","01","3","007000","00800","02","5","00","24","12","3","016","0000126",4625,"3","1"
"0000564","01","1","02","01","3","002000","01200","99","9","00","02","02","3","017","0000128",1408,"4","1"
"0000602","01","1","02","01","2","014000","00748","99","9","00","18","06","2","013","0000138",1828,"3","1"
"0000603","02","1","03","01","3","007400","01280","99","9","00","06","06","3","013","0000138",1828,"3","1"
"0000605","05","1","01","01","2","009000","01440","99","9","04","10","08","5","013","0000138",1828,"3","1"
"0000612","05","1","01","01","3","999999","07000","99","9","00","24","12","6","014","0000141",1252,"4","1"
"0000612","05","1","04","01","1","000400","00400","08","5","00","01","99","3","014","0000141",1252,"4","1"
"0000621","04","1","01","01","1","014000","00800","99","9","00","36","99","5","013","0000143",2341,"3","1"
"0000642","04","1","02","01","1","999999","01200","99","9","00","99","99","3","013","0000149",2069,"3","1"
"0000646","03","1","02","01","2","999999","01200","99","9","00","30","18","2","014","0000150",1288,"4","1"
"0000652","05","1","02","01","1","018000","01000","10","0","00","12","10","1","013","0000151",2039,"3","1"
"0000660","05","1","01","01","1","035000","01650","99","9","00","48","18","3","012","0000153",2654,"2","1"
"0000662","03","1","01","01","3","015000","01700","02","5","00","36","12","4","013","0000154",2071,"3","1"
"0000665","01","1","01","01","1","016000","00740","27","0","00","36","34","4","014","0000155",1253,"4","1"
"0000671","04","1","01","01","3","007000","01200","99","9","00","24","12","3","012","0000156",2579,"2","1"
"0000695","04","1","01","01","3","030000","01800","99","9","00","18","12","3","012","0000163",2445,"2","1"
"0000695","04","1","02","01","3","046000","02600","99","9","00","36","24","3","012","0000163",2445,"2","1"
"0000695","04","1","02","02","3","004600","00510","99","9","00","12","10","3","012","0000163",2445,"2","1"
"0000696","05","1","01","01","3","013000","01280","99","9","03","24","18","3","012","0000163",2445,"2","1"
"0000708","01","1","01","01","3","002000","00400","99","9","00","99","01","4","014","0000167",1394,"4","1"
"0000896","02","1","01","01","1","002000","00300","99","9","00","12","02","5","008","0000218",2447,"1","1"
"0000897","03","1","02","01","1","999999","01628","99","9","00","18","07","6","008","0000218",2447,"1","1"
"0000945","06","1","01","01","1","040000","02000","99","9","00","24","23","2","018","0000228",3115,"3","2"
"0000945","06","1","01","02","1","030000","01800","99","9","00","24","23","2","018","0000228",3115,"3","2"
"0000952","17","1","02","01","3","003000","01350","99","9","00","18","03","3","018","0000228",3115,"3","2"
"0000975","17","1","01","01","1","161200","05200","99","9","00","36","31","4","019","0000232",3405,"2","3"
"0000975","17","1","01","02","1","018000","02200","99","9","00","99","02","4","019","0000232",3405,"2","3"
"0000978","20","1","01","01","1","999999","99999","99","9","00","99","99","3","019","0000232",3405,"2","3"
"0001052","04","1","01","01","2","050000","02800","09","0","00","48","12","1","023","0000239",285,"4","1"
"0001053","01","1","03","01","2","008000","01052","99","9","00","18","24","4","022","0000240",318,"3","1"
"0001053","01","1","05","01","3","002000","00500","02","0","00","08","04","4","022","0000240",318,"3","1"
"0001065","01","1","02","01","1","003500","02200","99","9","00","08","03","3","022","0000244",378,"3","1"
"0001067","03","1","02","01","2","029700","02700","11","0","00","36","11","3","022","0000244",378,"3","1"
"0001069","02","1","01","01","3","092000","05300","99","9","00","18","10","5","021","0000245",429,"2","1"
"0001070","03","1","01","01","1","082000","04200","08","0","00","48","26","3","021","0000245",429,"2","1"
"0001080","05","1","02","01","3","003500","02000","99","9","00","06","02","1","021","0000247",389,"2","1"
"0001091","04","1","01","01","9","999888","99888","99","9","00","99","99","9","023","0000250",251,"4","1"
"0001100","04","1","01","01","2","056000","02826","02","0","00","24","24","6","022","0000254",387,"3","1"
"0001102","03","1","02","01","1","004000","01100","99","9","01","12","03","1","022","0000255",323,"3","1"
"0001111","04","1","03","01","1","001500","00250","60","0","00","12","03","3","022","0000257",328,"3","1"
"0001115","03","1","01","01","3","999999","00240","99","9","00","12","99","1","021","0000258",375,"2","1"
"0001121","03","1","03","01","3","010000","00900","99","9","00","36","12","8","022","0000260",361,"3","1"
