"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P5_4","P5_5","P5_6","P5_7","P5_8_1","P5_8_2","P5_9","P5_10","P5_11_1","P5_11_2","P5_12","P5_13","P5_14","P5_15","P5_16","P5_17_1","P5_17_2","P5_18_1","P5_18_2","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000001","01","1","01","01","2","4","1","","","","","000400000","000110000","0","2","","","","","","","","","002","0000001",588,"3","1"
"0000009","05","1","02","01","1","4","1","","","","","001500000","000000000","","","","","","","","","","","002","0000002",704,"3","1"
"0000010","01","1","01","01","1","5","1","","","","","000150000","000150000","0","1","30","00150000","01500","00160000","15","00","99","9","001","0000003",867,"2","1"
"0000017","04","1","01","01","1","5","1","","","","","000750000","999999999","0","2","","","","","","","","","001","0000005",1034,"2","1"
"0000018","05","1","01","01","1","8","1","","","","","000800000","000400000","0","1","20","00300000","02600","99999999","99","99","99","9","001","0000005",1034,"2","1"
"0000018","05","1","02","01","1","6","2","2","","","50","999999999","000000000","","","","","","","","","","","001","0000005",1034,"2","1"
"0000025","03","1","01","01","1","5","1","","","","","999999999","000000000","","","","","","","","","","","001","0000007",753,"2","1"
"0000028","01","1","01","01","1","5","1","","","","","000350000","000120000","1","2","","","","","","","","","002","0000008",671,"3","1"
"0000028","01","1","03","01","1","4","1","","","","","000800000","000240000","0","1","30","00240000","02600","00090000","03","00","11","0","002","0000008",671,"3","1"
"0000028","01","1","03","02","2","1","2","1","02","","10","001000000","000000000","","","","","","","","","","","002","0000008",671,"3","1"
"0000029","02","1","01","01","1","5","1","","","","","001000000","001000000","0","2","","","","","","","","","002","0000008",671,"3","1"
"0000035","01","1","01","01","1","4","1","","","","","001450000","000300000","0","1","25","01400000","14000","01400000","25","00","11","5","001","0000010",986,"2","1"
"0000035","01","1","01","02","1","4","1","","","","","000750000","000300000","0","2","","","","","","","","","001","0000010",986,"2","1"
"0000035","01","1","02","01","1","4","1","","","","","000400000","000225000","0","2","","","","","","","","","001","0000010",986,"2","1"
"0000037","04","1","02","01","1","5","1","","","","","000220000","000220000","0","1","30","00220000","01500","00220000","20","00","99","9","001","0000010",986,"2","1"
"0000039","01","1","01","01","1","8","1","","","","","000500000","000003000","1","2","","","","","","","","","002","0000011",643,"3","1"
"0000040","02","1","03","01","2","5","1","","","","","000017000","000017000","0","2","","","","","","","","","002","0000011",643,"3","1"
"0000042","05","1","02","01","1","4","1","","","","","000400000","000000000","","","","","","","","","","","002","0000011",643,"3","1"
"0000046","04","1","05","01","1","8","1","","","","","000350000","000350000","0","1","25","00350000","01200","99999999","99","99","99","9","002","0000012",576,"3","1"
"0000048","01","1","02","01","1","6","1","","","","","000400000","000300000","0","1","30","00200000","01100","99999999","13","00","99","9","002","0000013",655,"3","1"
"0000050","04","1","01","01","1","6","1","","","","","000700000","000245000","0","1","30","00180000","01400","00250000","15","00","99","9","002","0000013",655,"3","1"
"0000052","01","1","02","01","1","4","1","","","","","000800000","000080000","1","2","","","","","","","","","003","0000014",383,"4","1"
"0000052","01","1","04","01","1","4","1","","","","","000450000","000250000","0","2","","","","","","","","","003","0000014",383,"4","1"
"0000054","04","1","03","01","1","4","1","","","","","000850000","000560000","0","1","20","00550000","02500","00450000","05","00","99","9","003","0000014",383,"4","1"
"0000055","05","1","01","01","1","6","2","1","02","","50","000800000","001600000","0","2","","","","","","","","","003","0000014",383,"4","1"
"0000055","05","1","01","02","2","5","2","1","02","","50","000060000","000080000","0","2","","","","","","","","","003","0000014",383,"4","1"
"0000055","05","1","02","01","1","6","2","1","01","","50","000700000","000700000","0","2","","","","","","","","","003","0000014",383,"4","1"
"0000055","05","1","02","02","2","5","2","1","01","","50","000070000","000090000","0","2","","","","","","","","","003","0000014",383,"4","1"
"0000056","01","1","01","01","1","6","2","2","","","50","001300000","000900000","1","2","","","","","","","","","003","0000015",383,"4","1"
"0000056","01","1","01","02","1","6","2","2","","","50","000480000","000230000","0","2","","","","","","","","","003","0000015",383,"4","1"
"0000066","02","1","01","01","1","5","1","","","","","999999999","000001000","1","2","","","","","","","","","003","0000018",397,"4","1"
"0000072","01","1","01","01","1","6","1","","","","","000700000","000500000","0","1","30","00270000","03000","00300000","15","00","15","0","002","0000020",745,"3","1"
"0000074","03","1","01","01","1","5","1","","","","","000350000","000260000","0","1","30","00200000","01200","00200000","25","00","99","9","002","0000020",745,"3","1"
"0000076","01","1","02","01","1","6","1","","","","","000500000","000250000","0","2","","","","","","","","","001","0000021",1003,"2","1"
"0000077","02","1","01","01","1","6","2","2","","","50","000200000","000000000","","","","","","","","","","","001","0000021",1003,"2","1"
"0000078","01","1","02","01","2","4","1","","","","","001000000","000000000","","","","","","","","","","","003","0000022",433,"4","1"
"0000080","04","1","02","01","1","4","1","","","","","001400000","001200000","0","2","","","","","","","","","003","0000022",433,"4","1"
"0000083","03","1","03","01","1","5","1","","","","","000500000","002000000","1","2","","","","","","","","","002","0000023",650,"3","1"
"0000084","05","1","02","01","1","6","1","","","","","999999999","999999999","0","2","","","","","","","","","002","0000023",650,"3","1"
"0000093","03","1","01","01","4","4","1","","","","","001000000","000400000","0","2","","","","","","","","","003","0000026",392,"4","1"
"0000093","03","1","04","01","1","5","1","","","","","000500000","000427000","0","1","30","00360000","00750","00360000","26","00","99","9","003","0000026",392,"4","1"
"0000094","04","1","01","01","1","6","1","","","","","001500000","000400000","0","2","","","","","","","","","003","0000026",392,"4","1"
"0000094","04","1","02","01","1","6","1","","","","","000500000","000100000","0","2","","","","","","","","","003","0000026",392,"4","1"
"0000098","03","1","01","01","1","4","1","","","","","000500000","000010000","0","2","","","","","","","","","002","0000027",722,"3","1"
"0000099","04","1","03","01","1","4","1","","","","","000250000","000210000","0","1","30","99999999","02000","00210000","14","00","99","9","002","0000027",722,"3","1"
"0000101","01","1","02","01","1","6","1","","","","","002000000","002000000","0","2","","","","","","","","","002","0000028",722,"3","1"
"0000105","01","1","04","01","1","5","2","2","","","50","999999999","000300000","0","1","30","00300000","03200","99999999","17","00","99","9","002","0000029",710,"3","1"
"0000110","03","1","01","01","1","4","1","","","","","000500000","000420000","0","1","20","00400000","01800","00320000","15","00","99","9","002","0000030",711,"3","1"
"0000110","03","1","01","02","1","5","2","1","02","","50","000900000","999999999","0","2","","","","","","","","","002","0000030",711,"3","1"
"0000114","03","1","01","01","2","5","1","","","","","000300000","000000000","","","","","","","","","","","002","0000031",717,"3","1"
"0000115","05","1","01","01","2","5","1","","","","","999999999","000000000","","","","","","","","","","","002","0000031",717,"3","1"
"0000118","05","1","02","01","1","6","2","2","","","50","000200000","000000000","","","","","","","","","","","002","0000032",602,"3","1"
"0000122","04","1","01","01","2","4","1","","","","","999999888","999999888","0","2","","","","","","","","","002","0000033",610,"3","1"
"0000123","01","1","01","01","1","6","1","","","","","000500000","000800000","0","1","10","00500000","00700","00100000","01","00","99","9","003","0000034",396,"4","1"
"0000126","05","1","01","01","1","6","1","","","","","000650000","000150000","1","2","","","","","","","","","003","0000034",396,"4","1"
"0000126","05","1","02","01","1","6","2","2","","","50","000600000","000150000","1","2","","","","","","","","","003","0000034",396,"4","1"
"0000130","04","1","01","01","1","5","2","2","","","50","000600000","000460000","0","1","30","00380000","04200","00200000","03","02","99","9","003","0000036",387,"4","1"
"0000131","05","1","01","01","2","5","1","","","","","000700000","000030000","1","2","","","","","","","","","003","0000036",387,"4","1"
"0000131","05","1","01","02","2","5","1","","","","","000350000","000040000","1","2","","","","","","","","","003","0000036",387,"4","1"
"0000131","05","1","01","03","2","5","1","","","","","000500000","000150000","0","2","","","","","","","","","003","0000036",387,"4","1"
"0000138","05","1","02","01","1","6","1","","","","","000360000","000360000","0","1","30","00360000","01200","00300000","23","00","99","9","002","0000038",719,"3","1"
"0000139","02","1","02","01","1","6","1","","","","","000800000","000080000","0","1","99","00080000","01000","00045000","99","99","99","9","002","0000039",667,"3","1"
"0000145","04","1","01","01","1","6","1","","","","","000400000","000310000","0","1","30","00264000","01280","00215000","21","00","99","9","002","0000040",692,"3","1"
"0000145","04","1","01","02","5","5","1","","","","","000038000","000023000","0","2","","","","","","","","","002","0000040",692,"3","1"
"0000148","02","1","02","01","2","2","1","","","","","000200000","000050000","1","2","","","","","","","","","003","0000041",411,"4","1"
"0000158","02","2","02","01","1","4","1","","","","","000380000","000340000","0","1","30","00336000","01730","99999999","16","00","99","9","001","0000044",1198,"2","1"
"0000161","01","1","02","01","1","6","1","","","","","000250000","000250000","0","1","30","00060000","00165","00240000","25","00","99","9","002","0000045",715,"3","1"
"0000164","04","1","01","01","2","5","1","","","","","999999999","000000000","","","","","","","","","","","002","0000045",715,"3","1"
"0000171","02","1","02","01","1","5","1","","","","","000400000","000372000","0","1","30","00375000","03600","00368000","15","00","12","0","001","0000047",1061,"2","1"
"0000173","04","1","01","01","2","7","1","","","","","000150000","000006000","1","2","","","","","","","","","001","0000047",1061,"2","1"
"0000175","02","1","02","01","2","5","1","","","","","999999999","000000000","","","","","","","","","","","002","0000048",651,"3","1"
"0000178","02","1","01","01","1","7","1","","","","","006000000","004000000","0","2","","","","","","","","","003","0000049",360,"4","1"
"0000180","01","1","01","01","2","5","1","","","","","999999999","000500000","1","2","","","","","","","","","002","0000050",632,"3","1"
"0000185","03","1","02","01","2","5","1","","","","","000025000","000000000","","","","","","","","","","","002","0000051",671,"3","1"
"0000186","05","1","01","01","1","6","1","","","","","000450000","000000000","","","","","","","","","","","002","0000051",671,"3","1"
"0000186","05","1","01","02","1","6","1","","","","","000150000","000000000","","","","","","","","","","","002","0000051",671,"3","1"
"0000190","04","1","03","01","1","6","1","","","","","999999999","000300000","0","2","","","","","","","","","001","0000052",1044,"2","1"
"0000191","05","1","02","01","2","5","1","","","","","999999999","000012000","0","2","","","","","","","","","001","0000052",1044,"2","1"
"0000194","05","1","01","01","2","5","1","","","","","000100000","000045000","0","2","","","","","","","","","001","0000053",1058,"2","1"
"0000195","02","1","01","01","1","6","1","","","","","000410000","000365000","0","1","15","00365000","02200","00365000","15","00","99","9","001","0000054",1027,"2","1"
"0000201","04","1","02","01","1","6","1","","","","","001000000","000600000","0","1","06","00650000","06000","99999999","04","00","99","9","003","0000055",401,"4","1"
"0000202","05","1","01","01","3","4","1","","","","","999999888","999999999","0","2","","","","","","","","","003","0000055",401,"4","1"
"0000202","05","1","01","02","3","4","1","","","","","999999888","999999999","0","2","","","","","","","","","003","0000055",401,"4","1"
"0000202","05","1","01","03","1","4","1","","","","","002000000","001000000","0","2","","","","","","","","","003","0000055",401,"4","1"
"0000202","05","1","02","01","1","6","1","","","","","001000000","000000000","","","","","","","","","","","003","0000055",401,"4","1"
"0000203","03","1","01","01","1","4","1","","","","","000200000","999999999","0","2","","","","","","","","","003","0000056",442,"4","1"
"0000205","01","1","01","01","1","4","1","","","","","000500000","000300000","0","2","","","","","","","","","002","0000058",643,"3","1"
"0000205","01","1","01","02","1","2","1","","","","","005000000","003000000","0","2","","","","","","","","","002","0000058",643,"3","1"
"0000212","04","1","02","01","1","2","2","1","01","","50","002000000","000150000","0","2","","","","","","","","","003","0000060",397,"4","1"
"0000226","02","1","01","01","2","5","1","","","","","000150000","000050000","0","2","","","","","","","","","002","0000064",625,"3","1"
"0000228","04","1","01","01","2","5","1","","","","","000200000","000200000","0","2","","","","","","","","","002","0000064",625,"3","1"
"0000234","02","1","03","01","1","6","1","","","","","000500000","000018000","1","2","","","","","","","","","002","0000066",699,"3","1"
"0000242","01","1","01","01","1","6","2","2","","","35","999999999","000000000","","","","","","","","","","","003","0000068",393,"4","1"
"0000244","03","1","01","01","2","8","1","","","","","000200000","000100000","0","2","","","","","","","","","003","0000068",393,"4","1"
"0000246","05","1","02","01","1","5","1","","","","","000500000","000390000","0","1","30","00390000","01600","99999999","25","00","99","9","003","0000068",393,"4","1"
"0000250","01","1","02","01","1","4","1","","","","","999999999","000179000","0","2","","","","","","","","","002","0000070",668,"3","1"
"0000255","01","1","01","01","1","6","2","2","","","25","001400000","000000000","","","","","","","","","","","002","0000071",652,"3","1"
"0000255","01","1","01","02","2","5","2","2","","","25","000400000","000000000","","","","","","","","","","","002","0000071",652,"3","1"
"0000256","02","1","01","01","4","4","1","","","","","000300000","000000000","","","","","","","","","","","002","0000071",652,"3","1"
"0000258","02","1","01","01","2","5","2","2","","","50","999999999","000010000","0","2","","","","","","","","","003","0000072",421,"4","1"
"0000258","02","1","01","02","2","5","1","","","","","000150000","000080000","0","2","","","","","","","","","003","0000072",421,"4","1"
"0000258","02","1","02","01","1","5","1","","","","","000250000","000217000","0","2","","","","","","","","","003","0000072",421,"4","1"
"0000259","01","1","02","01","2","5","1","","","","","000050000","000035000","0","2","","","","","","","","","002","0000073",759,"3","1"
"0000261","03","1","01","01","1","5","1","","","","","000500000","000496000","0","1","30","00496000","03200","00496000","30","00","99","9","002","0000073",759,"3","1"
"0000263","01","1","02","01","2","5","1","","","","","000050000","000050000","0","2","","","","","","","","","002","0000074",690,"3","1"
"0000274","01","1","01","01","1","7","2","1","02","","50","000350000","000496000","0","1","15","00496000","05640","00175000","03","04","09","0","003","0000077",397,"4","1"
"0000274","01","1","02","01","4","4","2","1","01","","50","000500000","001000000","0","2","","","","","","","","","003","0000077",397,"4","1"
"0000275","02","1","03","01","1","8","1","","","","","000436000","000436000","0","1","30","00436000","02800","00436000","29","10","99","9","003","0000077",397,"4","1"
"0000280","01","1","01","01","1","4","2","1","02","","50","000400000","000800000","0","1","20","00700000","07000","99999999","17","09","11","9","003","0000079",381,"4","1"
"0000280","01","1","02","01","1","4","2","1","01","","50","000400000","000800000","0","1","20","00700000","07000","99999999","17","00","11","9","003","0000079",381,"4","1"
"0000291","01","1","02","01","1","4","1","","","","","000500000","000350000","0","1","30","00350000","01600","99999999","03","00","99","9","003","0000082",401,"4","1"
"0000292","02","1","01","01","1","4","1","","","","","999999999","000280000","0","1","99","00240000","01750","99999999","99","99","99","9","003","0000082",401,"4","1"
"0000292","02","1","02","01","2","5","1","","","","","000200000","000005000","0","2","","","","","","","","","003","0000082",401,"4","1"
