"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P6_9","P6_10","P6_11","P6_12","P6_13_1","P6_13_2","P6_13_3","P6_13_4","P6_13_5","P6_14","P6_15","P6_16","P6_17","P6_18","P6_19","P6_20","P6_21","P6_22","P6_22A","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000018","05","1","04","01","000150000","1","1","3","2","2","1","2","2","0100000","05000","24","9999999","2017","2","","","2","1","001","0000005",1034,"2","1"
"0000018","05","1","05","01","000001500","","","","","","","","","","","","","","","","","","","001","0000005",1034,"2","1"
"0000021","04","1","01","01","000020000","1","2","","","","","","","","","","","2009","2","","","2","2","001","0000006",1041,"2","1"
"0000024","02","1","01","01","999999999","","","","","","","","","","","","","","","","","","","001","0000007",753,"2","1"
"0000027","05","1","01","01","999999888","","","","","","","","","","","","","","","","","","","001","0000007",753,"2","1"
"0000028","01","1","02","01","000250000","1","2","","","","","","","","","","","1993","2","","","2","2","002","0000008",671,"3","1"
"0000028","01","1","04","01","000015000","1","2","","","","","","","","","","","2012","2","","","2","2","002","0000008",671,"3","1"
"0000028","01","1","06","01","000020000","1","2","","","","","","","","","","","2019","2","","","2","1","002","0000008",671,"3","1"
"0000031","04","1","01","01","999999999","","","","","","","","","","","","","","","","","","","002","0000008",671,"3","1"
"0000034","04","1","01","01","000070000","1","2","","","","","","","","","","","2018","2","","","2","1","002","0000009",631,"3","1"
"0000040","02","1","03","01","000020000","1","2","","","","","","","","","","","1993","1","1","7","2","2","002","0000011",643,"3","1"
"0000046","04","1","03","01","000000500","","","","","","","","","","","","","","","","","","","002","0000012",576,"3","1"
"0000053","02","1","02","01","000120000","1","2","","","","","","","","","","","1999","2","","","2","2","003","0000014",383,"4","1"
"0000055","05","1","03","01","000050000","1","2","","","","","","","","","","","2018","2","","","2","2","003","0000014",383,"4","1"
"0000055","05","1","03","02","000080000","1","2","","","","","","","","","","","2019","2","","","2","2","003","0000014",383,"4","1"
"0000058","03","1","01","01","999999999","","","","","","","","","","","","","","","","","","","003","0000015",383,"4","1"
"0000058","03","1","02","01","000100000","1","1","2","1","2","1","2","2","0060000","08000","12","0030000","2012","1","1","9","2","1","003","0000015",383,"4","1"
"0000059","04","1","01","01","000500000","2","1","1","2","2","1","2","2","0400000","00000","00","0400000","2019","1","3","","2","1","003","0000015",383,"4","1"
"0000064","05","1","01","01","000050000","1","2","","","","","","","","","","","2013","2","","","2","2","002","0000017",661,"3","1"
"0000067","03","1","02","01","000003000","","","","","","","","","","","","","","","","","","","003","0000018",397,"4","1"
"0000067","03","1","03","01","000040000","1","2","","","","","","","","","","","2011","2","","","2","2","003","0000018",397,"4","1"
"0000071","05","1","01","01","003000000","1","2","","","","","","","","","","","2012","2","","","2","1","003","0000019",421,"4","1"
"0000075","05","1","01","01","999999999","","","","","","","","","","","","","","","","","","","002","0000020",745,"3","1"
"0000076","01","1","04","01","000090000","1","2","","","","","","","","","","","2019","2","","","2","2","001","0000021",1003,"2","1"
"0000084","05","1","02","01","000100000","1","2","","","","","","","","","","","2006","2","","","2","2","002","0000023",650,"3","1"
"0000093","03","1","01","01","999999999","","","","","","","","","","","","","","","","","","","003","0000026",392,"4","1"
"0000093","03","1","02","01","000006000","1","1","2","1","2","2","2","2","0030000","01800","24","0030000","2010","1","1","2","2","2","003","0000026",392,"4","1"
"0000098","03","1","01","01","000300000","1","2","","","","","","","","","","","2010","2","","","2","1","002","0000027",722,"3","1"
"0000098","03","1","02","01","000250000","1","2","","","","","","","","","","","2009","2","","","2","1","002","0000027",722,"3","1"
"0000103","03","1","01","01","999999888","","","","","","","","","","","","","","","","","","","002","0000028",722,"3","1"
"0000106","03","1","01","01","000005000","1","2","","","","","","","","","","","2018","2","","","2","2","002","0000029",710,"3","1"
"0000125","04","1","01","01","000300000","1","2","","","","","","","","","","","2003","2","","","2","1","003","0000034",396,"4","1"
"0000129","03","1","01","01","000010000","1","2","","","","","","","","","","","2014","2","","","2","2","003","0000036",387,"4","1"
